,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,model22,4,3,10,3,7,9,"[1316, 1318, 1321, 1322, 1324, 1326, 1328, 1330, 1332]","[(7, 9), [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [8, 4], [9, 4], [9, 3], [10, 3]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,6,0
1,model22,4,4,4,10,12,7,"[1308, 1311, 1312, 1315, 1316, 1318, 1320, 1323, 1324, 1327, 1329, 1332, 1333]","[(12, 7), [12, 8], [11, 8], [10, 8], [9, 8], [8, 8], [8, 7], [7, 7], [6, 7], [5, 7], [5, 6], [5, 5], [4, 5], [4, 4]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1)]","[6, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",2,6,8,270
2,model22,4,11,10,11,7,4,"[1313, 1315, 1317, 1319, 1320, 1322, 1323, 1325, 1326, 1328]","[(7, 4), [7, 5], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [5, 11], [4, 11]]","[(0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1,6,7,180
3,model22,5,5,5,9,11,7,"[1313, 1315, 1316, 1318, 1319, 1321, 1323, 1326, 1328, 1330]","[(11, 7), [10, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 6], [5, 6], [5, 5]]","[(-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]","[8, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,4,6,270
4,model22,3,11,11,11,7,4,"[1307, 1311, 1312, 1314, 1317, 1318, 1321, 1322, 1324, 1327, 1329]","[(7, 4), [7, 5], [7, 6], [6, 6], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10], [4, 10], [4, 11], [3, 11]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1,8,7,180
5,model22,4,3,4,11,12,7,"[1308, 1313, 1317, 1321, 1327, 1331, 1336, 1339, 1341, 1342, 1344, 1345]","[(12, 7), [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 8], [5, 9], [5, 10], [5, 11], [4, 11]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]",0,8,8,270
6,model22,3,8,11,8,7,2,"[1307, 1310, 1312, 1313, 1315, 1317, 1319, 1321, 1323, 1325]","[(7, 2), [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]",0,8,6,180
7,model22,5,1,9,1,7,8,"[1307, 1308, 1310, 1312, 1313, 1315, 1317, 1319, 1321]","[(7, 8), [7, 7], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [6, 2], [6, 1], [5, 1]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 1]",1,4,7,0
8,model22,2,5,2,9,10,7,"[1307, 1309, 1311, 1312, 1314, 1315, 1317, 1319, 1320, 1322]","[(10, 7), [9, 7], [8, 7], [8, 6], [7, 6], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [2, 5]]","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[3, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,8,270
9,model22,3,9,11,9,7,1,"[1309, 1311, 1313, 1315, 1316, 1318, 1319, 1322, 1324, 1326, 1328, 1330]","[(7, 1), [7, 2], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [3, 9]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0]",special,8,8,180
